outcome,weightclass,time_format,title,r_kd,r_sub.att,r_rev.,r_ctrl_s,r_sig_str_percent,r_sig_str_att,r_total_str_percent,r_total_str_att,r_td_percent,r_td_att,r_head_percent,r_head_att,r_body_percent,r_body_att,r_leg_percent,r_leg_att,r_distance_percent,r_distance_att,r_clinch_percent,r_clinch_att,r_ground_percent,r_ground_att,r_avg_time_s,r_wins,r_losses,r_draws,r_win_streak,r_loss_streak,r_longest_win_streak,r_percent_title_bouts,r_percent_win_by_ko/tko,r_percent_win_by_sub,r_percent_win_by_dec,r_percent_win_by_doctor_stoppage,r_percent_loss_by_ko/tko,r_percent_loss_by_sub,r_percent_loss_by_dec,r_percent_loss_by_doctor_stoppage,b_kd,b_sub.att,b_rev.,b_ctrl_s,b_sig_str_percent,b_sig_str_att,b_total_str_percent,b_total_str_att,b_td_percent,b_td_att,b_head_percent,b_head_att,b_body_percent,b_body_att,b_leg_percent,b_leg_att,b_distance_percent,b_distance_att,b_clinch_percent,b_clinch_att,b_ground_percent,b_ground_att,b_avg_time_s,b_wins,b_losses,b_draws,b_win_streak,b_loss_streak,b_longest_win_streak,b_percent_title_bouts,b_percent_win_by_ko/tko,b_percent_win_by_sub,b_percent_win_by_dec,b_percent_win_by_doctor_stoppage,b_percent_loss_by_ko/tko,b_percent_loss_by_sub,b_percent_loss_by_dec,b_percent_loss_by_doctor_stoppage,date,r_height,r_reach,r_stance,r_dob,b_height,b_reach,b_stance,b_dob
R,Middleweight,5 Rnd (5-5-5-5-5),False,0.2222222222222222,0.2222222222222222,0.0,100.44444444444444,0.4105378704720088,202.44444444444446,0.4319895968790637,213.61111111111111,0.6428571428571428,1.5555555555555556,0.37614120511259896,182.55555555555554,0.7023809523809524,14.0,0.7830188679245281,5.888888888888889,0.3964201877934272,189.33333333333334,0.648936170212766,5.222222222222222,0.5915492957746479,7.888888888888889,866.4444444444445,13,5,0,13,5,13,0.0,0.23076923076923078,0.07692307692307693,0.6923076923076923,0.0,0.4,0.0,0.6,0.0,1.0,0.0,0.0,2.0,1.0,7.0,1.0,7.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,19.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,73.0,76.0,Orthodox,6676128.0,74.0,78.0,Orthodox,6522336.0
B,Lightweight,3 Rnd (5-5-5),False,0.16666666666666666,0.0,0.0,195.66666666666666,0.4265997490589711,132.83333333333334,0.5144855144855144,166.83333333333334,0.27999999999999997,4.166666666666667,0.32124352331606215,96.5,0.65625,26.666666666666668,0.8448275862068966,9.666666666666666,0.3946629213483146,118.66666666666667,0.72,4.166666666666667,0.6833333333333333,10.0,900.0,5,1,0,5,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.125,1.125,0.0,459.0,0.5184563758389261,74.5,0.6307692307692307,121.875,0.33766233766233766,9.625,0.4216589861751152,54.25,0.7142857142857143,12.25,0.875,8.0,0.4447004608294931,54.25,0.7708333333333334,6.0,0.6929824561403509,14.25,752.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,70.0,74.0,Orthodox,6655392.0,70.0,72.0,Switch,7617024.0
B,Welterweight,3 Rnd (5-5-5),False,0.5714285714285714,0.2857142857142857,0.21428571428571427,132.5,0.5026773761713521,106.71428571428571,0.5452930728241564,120.64285714285714,0.5,2.7142857142857144,0.4244288224956063,81.28571428571429,0.6739130434782609,16.428571428571427,0.8968253968253967,9.0,0.4806800618238022,92.42857142857143,0.6695652173913044,8.214285714285714,0.611764705882353,6.071428571428571,761.0714285714286,7,7,0,7,7,7,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,1.5,0.0,0.5,38.5,0.5647668393782384,96.5,0.582089552238806,100.5,0.0,1.0,0.5418994413407822,89.5,0.7777777777777778,4.5,1.0,2.5,0.5033112582781457,75.5,0.7058823529411765,8.5,0.84,12.5,457.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,71.0,76.0,Orthodox,5020704.0,72.0,79.0,Orthodox,9301824.0
R,Women's Flyweight Bout,3 Rnd (5-5-5),False,0.3333333333333333,0.2222222222222222,0.1111111111111111,123.11111111111111,0.39057591623036647,106.11111111111111,0.497584541062802,138.0,0.42857142857142855,0.7777777777777778,0.2655786350148368,74.88888888888889,0.7089201877934272,23.666666666666668,0.6323529411764706,7.555555555555555,0.34982332155477036,94.33333333333333,0.7681159420289855,7.666666666666667,0.6216216216216216,4.111111111111111,643.6666666666666,4,5,0,4,5,4,0.0,0.0,0.25,0.75,0.0,0.6,0.0,0.4,0.0,0.3333333333333333,0.3333333333333333,1.0,162.66666666666666,0.5131578947368421,76.0,0.6257485029940121,111.33333333333333,0.3333333333333333,4.0,0.45614035087719296,57.0,0.6071428571428571,9.333333333333334,0.7586206896551724,9.666666666666666,0.49519230769230776,69.33333333333333,0.6153846153846154,4.333333333333333,0.8571428571428571,2.3333333333333335,715.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,66.0,67.0,Orthodox,7595424.0,65.0,69.0,Orthodox,8309952.0
B,Lightweight,3 Rnd (5-5-5),False,1.0,0.0,0.0,47.0,0.6938775510204082,49.0,0.7169811320754716,53.0,0.25,4.0,0.5333333333333333,30.0,0.9411764705882353,17.0,1.0,2.0,0.6153846153846154,39.0,1.0,10.0,0.0,0.0,437.0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,218.66666666666666,0.52,75.0,0.63125,106.66666666666667,0.3,6.666666666666667,0.4438202247191011,59.333333333333336,0.7567567567567568,12.333333333333334,1.0,3.3333333333333335,0.4867724867724868,63.0,0.6363636363636365,3.6666666666666665,0.72,8.333333333333334,536.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,68.0,71.0,Orthodox,8201088.0,71.0,73.0,Southpaw,8192448.0
B,Welterweight,3 Rnd (5-5-5),False,0.05555555555555555,0.6111111111111112,0.1111111111111111,298.55555555555554,0.42274786109713136,110.38888888888889,0.504983388704319,133.77777777777777,0.43396226415094336,5.888888888888889,0.3739930955120829,96.55555555555556,0.7377777777777778,12.5,1.0,1.3333333333333333,0.3250490516677567,84.94444444444444,0.7448979591836734,5.444444444444445,0.75,20.0,720.5555555555555,11,7,0,11,7,11,0.05555555555555555,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.5,0.0,0.0,815.5,0.6821705426356589,64.5,0.7455197132616488,139.5,0.631578947368421,9.5,0.6310679611650486,51.5,0.8571428571428571,7.0,0.9166666666666666,6.0,0.5806451612903226,15.5,0.8,12.5,0.684931506849315,36.5,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,69.0,77.0,Orthodox,7155648.0,72.0,74.0,Orthodox,6860160.0
B,Women's Featherweight,3 Rnd (5-5-5),False,0.0,0.125,0.125,291.5,0.5595611285266457,79.75,0.7105654761904762,168.0,0.5333333333333333,1.875,0.3333333333333333,41.625,0.8138297872340425,23.5,0.7948717948717948,14.625,0.42790697674418604,53.75,0.8518518518518519,20.25,0.7608695652173914,5.75,701.625,4,4,0,4,4,4,0.125,0.0,0.0,1.0,0.0,0.75,0.0,0.25,0.0,0.2857142857142857,0.0,0.14285714285714285,307.14285714285717,0.5596943648519579,149.57142857142858,0.6666666666666666,220.71428571428572,0.4545454545454546,3.142857142857143,0.47265625,109.71428571428571,0.8425925925925926,15.428571428571429,0.7719298245614036,24.428571428571427,0.5112426035502959,120.71428571428571,0.8085106382978724,13.428571428571429,0.7222222222222222,15.428571428571429,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,66.0,68.0,Orthodox,6267456.0,65.0,67.0,Orthodox,7887456.0
B,Lightweight,3 Rnd (5-5-5),False,0.5,0.0,0.0,20.0,0.42124542124542125,136.5,0.43462897526501765,141.5,0.125,4.0,0.23163841807909605,88.5,0.7017543859649122,28.5,0.8717948717948718,19.5,0.38976377952755903,127.0,0.8125,8.0,1.0,1.5,900.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4394904458598726,157.0,0.4823529411764706,170.0,0.0,3.0,0.297029702970297,101.0,0.6571428571428571,35.0,0.7619047619047619,21.0,0.43137254901960786,153.0,0.75,4.0,0.0,0.0,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,71.0,72.0,Orthodox,6948288.0,70.0,72.0,Orthodox,8753184.0
R,Heavyweight,3 Rnd (5-5-5),False,0.0,0.5714285714285714,0.14285714285714285,273.7142857142857,0.5077319587628866,55.42857142857143,0.5792452830188679,75.71428571428571,0.5294117647058825,4.857142857142857,0.4608433734939759,47.42857142857143,0.7222222222222222,5.142857142857143,0.9,2.857142857142857,0.3893805309734513,16.142857142857142,0.8260869565217392,3.2857142857142856,0.5317460317460317,36.0,466.42857142857144,5,2,0,5,2,5,0.0,0.2,0.6,0.2,0.0,0.5,0.0,0.5,0.0,0.14285714285714285,0.14285714285714285,0.0,94.42857142857143,0.404710920770878,133.42857142857142,0.4428997020854022,143.85714285714286,0.39999999999999997,2.142857142857143,0.35018050541516244,118.71428571428571,0.8333333333333334,13.714285714285714,1.0,1.0,0.38100686498855835,124.85714285714286,0.7254901960784313,7.285714285714286,0.8888888888888887,1.2857142857142858,985.7142857142857,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16881696.0,74.0,75.0,Southpaw,6608736.0,71.0,73.0,Southpaw,5292000.0
B,Featherweight,5 Rnd (5-5-5-5-5),False,0.9166666666666666,0.08333333333333333,0.08333333333333333,64.41666666666667,0.3783146729522687,141.41666666666666,0.3939223410241981,148.08333333333334,0.3793103448275862,2.4166666666666665,0.3013600572655691,116.41666666666667,0.6598984771573604,16.416666666666668,0.8834951456310679,8.583333333333334,0.3438735177865613,126.5,0.75,4.666666666666667,0.6341463414634146,10.25,770.5,9,3,0,9,3,9,0.08333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6,1.2,0.0,160.8,0.4959349593495934,49.2,0.5326797385620915,61.2,0.4615384615384615,2.6,0.4475138121546961,36.2,0.5964912280701754,11.4,0.8749999999999999,1.6,0.44670050761421326,39.4,0.6,2.0,0.717948717948718,7.8,440.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875648.0,66.0,70.0,Orthodox,4787424.0,67.0,69.0,Orthodox,8538048.0
B,Women's Flyweight Bout,3 Rnd (5-5-5),False,0.0,0.75,0.125,242.75,0.4250734573947111,127.625,0.5485674353598882,178.875,0.52,3.125,0.34074074074074073,101.25,0.6535433070866141,15.875,0.8928571428571429,10.5,0.3923497267759563,114.375,0.7419354838709677,3.875,0.6933333333333334,9.375,678.125,6,2,0,6,2,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.0,0.1111111111111111,0.5555555555555556,143.33333333333334,0.47897196261682246,95.11111111111111,0.5195195195195195,111.0,0.3636363636363636,2.4444444444444446,0.4109195402298851,77.33333333333333,0.7478260869565216,12.777777777777779,0.8444444444444444,5.0,0.3327556325823223,64.11111111111111,0.7857142857142857,23.333333333333332,0.7681159420289855,7.666666666666667,720.6666666666666,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875648.0,63.0,66.0,Orthodox,7463232.0,65.0,65.0,Switch,8954496.0
R,Featherweight,3 Rnd (5-5-5),False,0.5,0.25,0.25,62.25,0.45841784989858014,123.25,0.5026737967914439,140.25,0.2,3.75,0.42630385487528344,110.25,0.6888888888888889,11.25,1.0,1.75,0.42823529411764705,106.25,0.7096774193548387,7.75,0.5945945945945946,9.25,639.25,2,2,0,2,2,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.5655737704918032,122.0,0.6170212765957447,141.0,0.45454545454545453,11.0,0.4383561643835616,73.0,0.7058823529411765,34.0,0.8666666666666667,15.0,0.5238095238095238,105.0,0.9333333333333333,15.0,0.0,2.0,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875648.0,71.0,74.0,Orthodox,7709472.0,69.0,70.0,Orthodox,8491392.0
R,Middleweight,3 Rnd (5-5-5),False,0.18181818181818182,0.9090909090909091,0.8181818181818182,147.45454545454547,0.5317139001349528,67.36363636363636,0.5945652173913043,83.63636363636364,0.5333333333333334,1.3636363636363635,0.41981981981981986,50.45454545454545,0.8347107438016529,11.0,0.923076923076923,5.909090909090909,0.49755301794453505,55.72727272727273,0.6666666666666666,3.0,0.7052631578947368,8.636363636363637,560.1818181818181,9,2,0,9,2,9,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,104.83333333333333,0.4748803827751196,69.66666666666667,0.5408866995073892,84.58333333333333,0.27272727272727276,3.6666666666666665,0.3990683229813665,53.666666666666664,0.675,10.0,0.8194444444444445,6.0,0.4375917767988252,56.75,0.6833333333333333,5.0,0.6105263157894736,7.916666666666667,536.75,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875648.0,74.0,75.0,Orthodox,8201088.0,64.0,65.0,Orthodox,6375456.0
R,Middleweight,3 Rnd (5-5-5),False,0.18181818181818182,0.9090909090909091,0.8181818181818182,147.45454545454547,0.5317139001349528,67.36363636363636,0.5945652173913043,83.63636363636364,0.5333333333333334,1.3636363636363635,0.41981981981981986,50.45454545454545,0.8347107438016529,11.0,0.923076923076923,5.909090909090909,0.49755301794453505,55.72727272727273,0.6666666666666666,3.0,0.7052631578947368,8.636363636363637,560.1818181818181,9,2,0,9,2,9,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,104.83333333333333,0.4748803827751196,69.66666666666667,0.5408866995073892,84.58333333333333,0.27272727272727276,3.6666666666666665,0.3990683229813665,53.666666666666664,0.675,10.0,0.8194444444444445,6.0,0.4375917767988252,56.75,0.6833333333333333,5.0,0.6105263157894736,7.916666666666667,536.75,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875648.0,74.0,75.0,Orthodox,8201088.0,72.0,74.0,Orthodox,6162912.0
R,Welterweight,3 Rnd (5-5-5),False,0.06896551724137931,0.2413793103448276,0.06896551724137931,164.44827586206895,0.4621400639886243,97.0,0.5817853457172343,133.6551724137931,0.4233576642335766,4.724137931034483,0.39546049759930163,79.0,0.750733137829912,11.758620689655173,0.7624309392265194,6.241379310344827,0.3593970796043335,73.20689655172414,0.7854889589905363,10.931034482758621,0.7721179624664879,12.862068965517242,750.1379310344828,20,9,0,20,9,20,0.0,0.25,0.1,0.65,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.0,0.5,0.5,0.5,111.25,0.4746268656716418,83.75,0.4928774928774929,87.75,0.375,2.0,0.40425531914893614,70.5,0.8,8.75,0.9444444444444444,4.5,0.4426229508196721,76.25,0.875,6.0,0.5,1.5,675.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875648.0,75.0,80.0,Orthodox,5549472.0,75.0,80.0,Orthodox,6482592.0
